Sentence, Label
"Also called the times-interest-earned ratio, this ratio is used by creditors and prospective lenders to assess the risk of lending capital to a firm.",0
"Since inception (December 2003), Hercules has committed more than $13 billion to over 560 companies and is the lender of choice for entrepreneurs and venture capital firms seeking growth capital financing.",0
"In addition, for Adjusted PTC, earnings before tax represents the business performance of the Company before the application of statutory income tax rates and tax adjustments, including the effects of tax planning, corresponding to the various jurisdictions in which the Company operates.",0
"According to S&P, Futu has good market presence in Hong Kong as a retail-focused online broker, and is well-placed to take advantage of the brand recognition to expand overseas market such as US and Singapore.",0
Netflix is expected to next report quarterly earnings on January 20.,0
18.5% of its total outstanding debt is floating rate as of the end of Q1.,0
We focus on real estate venues which create value by facilitating out-of-home leisure and recreation experiences where consumers choose to spend their discretionary time and money.,0
"These forward-looking statements are not guarantees of future performance and are subject to uncertainties and other factors that could cause actual results to differ materially from those expressed in the forward-looking statements including, without limitation, the risks, uncertainties, including the uncertainties surrounding the current market volatility, and other factors the Company identifies from time to time in its filings with the SEC.",0
We believe that Adjusted PTC and Adjusted EPS better reflect the underlying business performance of the Company and are considered in the Company's internal evaluation of financial performance.,0
"PRETORIA, SOUTH AFRICA - MARCH 16: Finance minister, Tito Mboweni briefs the media on the details of government interventions in various sectors of the departmental portfolios on COVID-19 at DIRCO Media Centre.",0
"However, given its focus on longer-date issues, the fund courts more interest-rate risk.",0
"The implications are simple: The lower a company's credit rating, the more it will have to pay (in interest) to borrow money.",0
"The strategy is one of the cheapest funds in its category, which should give it a durable edge.",0
"As its customer base has grown, its needs for outside cash has dwindled.",0
"(2) Amount primarily relates to unrealized commodity derivative losses at New York Wind of $20 million, or $0.03 per share, and unrealized foreign currency derivative losses in Brazil of $20 million, or $0.03 per share.",0
"If you have any comments, concerns, or questions, please email me at joey@teslarati.com.",0
"This stock exchange announcement was published by Laila Hop, Paralegal, Aker ASA, on August 17, 2022, at 06:58 CEST.",0
"Its largest contributors to revenue generation were growth in vehicle deliveries, increased average selling price, and growth in other parts of Tesla’s business.",0
"Ford now faces the challenge of addressing these operational problems as demand in major markets is softening, and as the auto industry is contending with an unprecedented pace of change relating to vehicle electrification, autonomous driving, ride sharing, and increasingly burdensome emission regulations.",0
"Core Wealth Advisors Inc. acquired a new stake in shares of Innovator S&P Investment Grade Preferred ETF during the 4th quarter valued at $117,000.",1
"BELLEVUE, Wash.--(BUSINESS WIRE)--T-Mobile US, Inc. (NASDAQ: TMUS) today announced that following an investment grade issuer rating from S&P Global Ratings (S&P) – the third it has received from credit rating agencies – the company now has its first-ever full investment grade rating.",1
"Over the coming weeks, I will cover many other BDCs listed below, including their asset and interest expense coverage ratios:",0
The city suffered pandemic hits on multiple fronts from the loss of income taxes due to non-residents working remotely and plummeting wagering taxes from shuttered casinos.,0
"Levy set out to win back investor confidence this year with an unpopular austerity agenda but has faced fierce resistance from congressional allies and ministerial rivals, raising expectations for his resignation.",0
"LQD tracks the Markit iBoxx USD Liquid Investment Grade Index, which includes investment-grade corporate bonds with more than three years remaining until maturity.",1
"The Company primarily serves the emerging affluent population, pursuing a massive opportunity to facilitate a once-in-a-generation shift in the wealth management industry and build a digital gateway into broader financial services.",0
"Similarly it is clear that it is up to South Africa, and not the credit rating agencies, as to which direction that country would like to take going forward.""",0
"But with this downgrade, 2 of the 3 major credit-rating agencies now rate Ford below the BBB level -- meaning that the company's credit rating is now, technically speaking, junk.",0
"The real currency and dollar-denominated bonds tumbled amid forced selling after the downgrade, which came just three months after Standard & Poor’s cut Brazil’s rating to junk, further clouding the outlook for an economy reeling from its sharpest downturn in a quarter-century.",0
