Sentence,Label
"The company’s unlawful practices included storing tests in garbage bags for over a week rather than properly refrigerating them, and backdating sample collection dates so that stale samples would still be processed.",0
"Ferguson’s lawsuit, filed in King County Superior Court, asserts the company violated the Consumer Protection Act when it deliberately failed to deliver prompt, valid and accurate results.",1
The Attorney General’s Office plans to file a motion for preliminary injunction soon to immediately stop the Center for COVID Control’s unlawful conduct.,1
The office will request a preliminary injunction hearing for the soonest available date.,1
"“Center for COVID Control contributed to the spread of COVID-19 when it provided false negative results,” Ferguson said.",0
"The company had at least 13 testing sites in Washington, located in Lakewood, Tacoma, University Place, Seattle, Bellevue, Auburn, Lynnwood, Everett, Port Orchard and Yakima.",0
"The company did not have a license to operate a business in any municipalities in Washington, except for Yakima, at the time they conducted COVID-19 tests.",0
"The company advertised that they could provide COVID-19 test results within 15 minutes for a rapid antigen test, and within 48 hours for a more accurate PCR test.",0
"Former employees reported that the company was receiving between 8,000 to 10,000 tests per day, and data entry staff could not keep up.",0
"Some former employees reported regularly finding tests sitting in trash bags that were over a week old, never refrigerated properly and never tested by the company’s lab.",0
"The company’s Director of Operations instructed employees to start falsely post-dating samples to make them appear more recent than they actually were, and submit them for testing anyway so the company could potentially still bill insurance companies or the federal government for the tests.",0
"One Yakima customer, who never received his test result from Center for COVID Control, reported that two of his family members received negative test results despite exhibiting severe symptoms of COVID-19 the day after being tested.",0
Call wait times were sometimes three hours long.,0
"If a patient called multiple times asking for their results, employees were instructed to lie and tell them that their results were inconclusive and they needed to take another test, allowing the company to bill for two tests.",0
"The company frequently marked patients as “uninsured,” even if they were insured.",0
"As testing ramped up, the company “streamlined” their data entry form and autofilled “uninsured” as the default insurance for all patients.",0
"At the time, she had been exposed to COVID-19 and was experiencing symptoms.",0
"“Two hours after taking my second COVID-19 test, I still had not received a result from the Center for COVID Control.",0
"Additionally, the Office serves the people directly by enforcing consumer protection, civil rights, and environmental protection laws.",0
Visit www.atg.wa.gov to learn more.,0
"Activision Blizzard became the center of the news cycle following a lawsuit filed in California courts accusing the company of creating a ""frat boy"" culture where women are victims of harassment, unfair pay, and retaliation.",1
"The lawsuit went into great detail about alleged past events and called for numerous forms of relief, including compensation and punitive damages.",1
"Since the lawsuit went public, the company has responded with a statement from CEO Bobby Kotick about plans to begin rectifying company culture and a huge walkout from employees.",1
Here's everything you need to know about the Activision Blizzard lawsuit and what's happened since.,1
"Over 98% of shareholders voted ""Yes,"" garnering overwhelming support for the merger agreement.",0
"Microsoft intends to buy out Activision Blizzard at $95 a share, currently a premium as the company's shares fell dramatically in the wake of the lawsuit.",1
"The deal is currently slated to be closed in Microsoft's fiscal year ending June 30, 2023.",0
"The story would've reportedly detailed a restraining order obtained against Kotick, while the strategy for figuring out how to keep the story from being published was reportedly put together by a team that included Facebook and Activision employees.",1
Whistleblower claims Gov.,0
"As reported by Bloomberg, the lawyer, Melanie Proctor, claims that her former boss, Chief Counsel Janette Wipper, was fired by the governor with no explanation.",1
"Proctor also claimed that ""As we continued to win in state court, this interference increased, mimicking the interests of Activision's counsel.""",1
Activision Blizzard claims that it is following National Labor Relations Board (NLRB) guidelines in doing so.,0
"The wrongful death suit claims Moynihan's boss, Greg Restituito, initially lied to investigators and hid evidence about a sexual relationship with his employee.",1
It also alleges the company refused to turn over Moynihan's company-issued laptop to investigators.,1
