Sentence,Label
Some reports claimed some of the employees moved cities just a couple weeks before the layoffs.,0
ESG fund disclosures differ in fundamental ways from the ESG disclosures of typical operating companies.,0
"Lyft’s most recent proxy statement shows that Sverchek received nearly $3.6 million in total compensation during fiscal 2020, down from the nearly $6 million in total pay she earned from the San Francisco-based company in 2019.",0
“Summit’s conduct was criminal and its failure to immediately report the discharge a felony.,0
"“Notwithstanding the Lifestone litigation, the Stefans did not modify their practices to deal honestly and fairly with consumers; rather, they simply transitioned their operations from a company in litigation to a newly formed business,” the motion says.",1
"Amick Farms, Fieldale Farms, George’s, Peco Foods and Pilgrim’s Pride have all reached settlement agreements with the plaintiffs.",1
"Human-made factors contribute to land loss, amid natural threats posed by rising sea levels, subsidence, storms, and invasive species.",0
"Between the original complaint being filed and that injunction, however, Shapiro said Stefan and his sons, Gregory J. Stefan, Jr., and Gerard Stefan, established a new business called “1843 LLC,” which has allegedly engaged in similar business practices.",1
"Oct. 14, 2014: Summit’s construction manager raised a concern about “extreme low pressure on the pipeline.” The facilities engineer responded: “Not good.",0
"3) Litigation History of the Challenged Patent – The frequency of assertion of the challenged patent, including assertion in the U.S. district courts and the ITC.",1
"Essentially, the state requires employees to maintain records related to a complaint if it's filed, but the amendment says Activision Blizzard did not produce documents, saying that they didn't exist or that they were confidential.",1
"The civil price fixing case is not related to another cased where a grand jury in the US District Court of Denver indicted four executives at Pilgrim’s Pride and Claxton Poultry, Claxton, Ga., for their alleged role in a conspiracy to fix prices.",1
"In one particularly heartbreaking example, a female employee died by suicide on a business trip after sexual harassment.",0
"On Aug. 6, Waypoint continued its reporting with an article concerning Blizzard's chief information officer, Derek Ingalls, and how he joked about sleeping with female assistants during a meeting.",0
One recent example is particularly instructive in demonstrating what can be missed in attempting to compare ESG investment products that might have varying and divergent investment approaches by design.,0
"My time in tech has spanned a couple of recessions, so a lot of this feels familiar.",0
"O'Sullivan and Nelson allege that the partnership between McDonald's and Taylor remains viable because independent owner-operators, rather than Taylor itself, pay for service and repair fees, and Taylor develops new kitchen products exclusively for McDonald's.",1
"Howmedica Osteonics should pay half of the opponent’s special master costs for failing to preserve text messages, Jackson said in his May 10 opinion.",1
"If the case is dismissed, Apothio investors will lose only 20% of their investment, under Apothio’s investment contract.",1
"The company stopped selling Baby Powder in the U.S. and Canada in May 2020, in part due to what it called “misinformation” and “unfounded allegations” about the talc-based product.",0
The potential ethics violation regards two DFEH lawyers who used to work with the EEOC on the case.,1
"In 2021 alone, 38 funds with sustainability mandates were launched in the U.S., 29 of which were equity funds and 25 were ETFs.",0
"That's more than 60% of the minimum target of $250,000 that Apothio set in its SEC registration of the offering.",0
Patricia Andaloro is named as a defendant in the lawsuit due to her stint as a Fire District No.,1
The trade groups’ membership includes defendants in the cases.,1
"Conversely, ESG inclusionary funds actively pursue positive sustainability-related outcomes and financial performance through a focused investment thesis that tilts their portfolios according to the relevant ESG factors—without necessarily excluding particular sectors.",0
"""It will ensure that no more communities are awash in opioids as happened over the last couple of decades.""",0
"Since then, the ABK Workers Alliance announced a work stoppage and set up a strike fund to support the laid-off devs and others who are participating.",0
"Their claims differ from other cases against oil companies from state and local governments in Maryland, Colorado, California, and elsewhere, which focus on holding the industry financially responsible for the local impacts of climate change, primarily driven by use of fossil fuels.",1
"STAMFORD, Conn., June 27, 2022 (GLOBE NEWSWIRE) -- The Lovesac Company (Nasdaq: LOVE) (“Lovesac” or the “Company”) announced today that it has reached an agreement to amicably resolve its patent litigation against Stitch Industries, Inc. dba Joybird, a unit of La-Z-Boy Incorporated.",1
"The company’s Director of Operations instructed employees to start falsely post-dating samples to make them appear more recent than they actually were, and submit them for testing anyway so the company could potentially still bill insurance companies or the federal government for the tests.",0
"The lawsuit alleges that ""some franchise operators have reported shelling out thousands of dollars per month in service fees"" to Taylor Company, which reportedly manufactures machines through franchised distributors.",1
