Sentence,Label
The announced changes come days after reports circulated that Peloton could soon be a takeover target.,1
"But news of a management shakeup and strategic overhaul make this path seem much less likely, at least in the near term.",1
"The connected fitness company announced Tuesday that Barry McCarthy, the former chief financial officer of Spotify and Netflix, will become CEO and president and join Peloton's board.",1
"McCarthy, 68, currently serves on the board of delivery start-up Instacart.",1
"Founder John Foley will step down from the CEO post, and become executive chairman of the board.",1
"""Since founding Peloton a decade ago, we've grown this brand to engage and motivate a loyal community of more than 6.6 million members,"" said Foley, in a press release announcing the leadership changes.",1
"""I'm incredibly proud to have worked with such talented teammates over the years who have helped me build Peloton into what it is today, and I'm confident that Barry is the right leader to take the company into its next phase of growth.""",1
Foley pointed to McCarthy's previous experience managing subscription business models and digital streaming companies.,1
"In January, Peloton reported preliminary quarterly revenue and subscriber figures, but Tuesday's announcement also included a lower forecast for the year.",1
"Peloton now anticipates fiscal 2022 revenue within a range of $3.7 billion to $3.8 billion, down from prior expectations of $4.4 billion to $4.8 billion.",1
"Previously, it projected it would have 3.35 million to 3.45 million.",1
These are people who own one of Peloton's products and also pay a monthly fee to access its on-demand content.,0
Peloton said it expects to slash roughly $800 million in annual costs and reduce capital expenditures by roughly $150 million this year.,1
"It plans to wind down the development of its Peloton Output Park, the $400 million factory that it was building in Ohio.",1
It said it will reduce its delivery teams and the amount of warehouse space it owns and operates.,1
"""The decisions we have made will make us a leaner and more nimble organization that is better able to execute against our sizable growth opportunity,"" said Foley, in a separate letter to shareholders.",1
"Peloton is expecting to cut 2,800 jobs, or about 20% of its corporate positions.",1
The cuts won't affect its instructor roster or content.,1
"But Foley did announce that his wife, Jill Foley, is leaving her role as vice president of Peloton's apparel business.",1
"Peloton employed 6,743 people in the United States as of June 30, more than double the roughly 3,281 employees it counted a year earlier, according to annual filings.",1
But the company miscalculated how sustainable this trend would be.,1
"Roughly a week ago, activist Blackwells Capital — which has a less than 5% stake in the company — sent a letter to Peloton's board urging Foley to quit his role as CEO, and asking the company to consider selling itself.",1
Reports have since circulated that potential suitors could include Amazon or Nike.,1
"However, Foley along with other Peloton insiders had a combined voting control of roughly 80% as of Sept. 30, which would make it practically impossible for any deal to go through without their approval.",1
"""Peloton CEO John Foley naming himself Executive Chairman and hiring a new CFO does not address any of Peloton investors' concerns,"" Aintabi said in a statement.",1
"""Mr. Foley has proven he is not suited to lead Peloton, whether as CEO or Executive Chair, and he should not be hand-picking directors, as he appears to have done today.""",1
"Foley, 51, founded Peloton in 2012.",1
He previously served as the president at Barnes & Noble.,1
"Foley also brought on his wife, Jill, to lead up Peloton's apparel business — a decision Blackwells has also criticized.",1
"As part of the management changes, William Lynch, Peloton's president, will step down from his executive role but remain a director.",1
"Lynch, a former Barnes & Noble CEO, was brought on by Foley in 2017 to help drive growth.",1
"PLANO, Texas--(BUSINESS WIRE)--Rent-A-Center, Inc. (NASDAQ/NGS:RCII), a leading provider of technology driven and flexible leasing solutions for consumers, today announced that as of March 28, 2022 Aaron Allred has assumed the role of Executive Vice President, Acima.",1
"Moving forward Mr. Allred will oversee all aspects of the Acima business and report to Mitch Fadel, Chief Executive Officer of Rent-A-Center, Inc. Jason Hogg, former Executive Vice President, Acima, has departed the Company.",1
Adjusted EBITDA figures now exclude stock based compensation.,1
"(3) Non-GAAP diluted earnings per share excludes the impact of incremental depreciation and amortization related to the estimated fair value of acquired Acima assets, stock compensation expense associated with the Acima acquisition equity consideration subject to vesting conditions, and one-time transaction and integration costs related to the Acima acquisition.",0
"“Special items” refers to certain gains and charges we view as extraordinary, unusual or non-recurring in nature and which we believe do not reflect our core business activities.",0
"That's the day former Disney CEO Bob Iger's relationship with his handpicked successor, current Disney CEO Bob Chapek, began to fall apart.",1
"Iger had stunned the world in February of that year by resigning as Disney's chief executive, effective immediately.",1
"He elevated Chapek, whom Iger and the board had long seen internally as the front-runner for the position given his operational experience and decades at the company.",1
"Iger would stick around as executive chairman and direct the company's ""creative endeavors"" to help with the transition.",1
The timing of a CEO change at arguably the world's most famous entertainment company couldn't have been worse.,1
"Just weeks after Iger stepped down, Disney began closing its theme parks around the world during the initial stages of the Covid-19 quarantine.",1
Iger and Chapek seemed to be ready for the pandemic challenge together.,1
"""I can't think of a better person to succeed me in this role,"" Iger said March 11, 2020, during the company's annual shareholder meeting, a day before the company announced it would begin closing its parks.",1
Chapek returned the optimism.,1
"A Mouse House divided The pressure is on Disney CEO Bob Chapek, whose contract is up early next year.",1
Some key takeaways: Chapek and CEO Bob Iger's relationship soured after Iger gave comments to The New York Times about wanting to help Chapek run the company during the pandemic.,1
"Several employees have called Iger to express their dissatisfaction with Chapek over his response to Florida's ""Don't Say Gay"" bill.",1
"Chapek centralized budget power under his right-hand man, Kareem Daniel, a move that irritated several Disney veterans – as well as Iger.",1
"Like Iger, Chapek and Daniel want to speed up the pace of Disney's digital transformation.",1
"""I've watched Bob [Iger] lead this company to amazing new heights, and I've learned an enormous amount from that experience,"" Chapek said.",1
"One month after those comments, with everyone stuck at home, then-New York Times media columnist Ben Smith published a story after reaching Iger by email.",1
He reported Iger wasn't going to turn Chapek to the wolves as a brand-new CEO while the world was falling apart.,1
Iger told Smith he would stick around to help run the company.,1
"""A crisis of this magnitude, and its impact on Disney, would necessarily result in my actively helping Bob [Chapek] and the company contend with it, particularly since I ran the company for 15 years!""",1
"Chapek was furious when he saw the story, according to three people familiar with the matter.",1
