"July 12 (Reuters) - Entertainment firm Falcon's Beyond has agreed to go public through a merger with blank-check vehicle in a deal valuing the combined entity at about $1 billion, including debt, the companies said on Tuesday.",1
"The deal with Fast Acquisition Corp. II (FZT.N) is expected to fetch up to $282 million in gross proceeds, assuming no redemptions, including a private placement of $60 million from Falcon's existing investor Katmandu Collections LLLP.",1
"Special purpose acquisition companies (SPACs), once Wall Street's hottest trend when they peaked during 2020 and early 2021, currently find themselves facing regulatory hurdles and investor distrust amid volatile capital markets and poor share performance of popular firms.",1
"SPACs are publicly listed companies raised with the intention of merging with a private company, which goes public through the merger and is seen as an alternative to an IPO.",1
"Discovery became the second major Spirit shareholder to publicly back a merger with JetBlue, which is vying with Frontier to expand in the United States and create the country's fifth-largest airline.",1
Discovery owns 1.4% of Spirit.,0
"Last month, Spirit shareholder TIG Advisors LLC also informed the carrier's board of directors that it intends to vote against Frontier's bid with the low-cost carrier.",1
"However, Frontier on Monday declined to further raise its bid for Spirit, potentially drawing the curtains on its months-long bidding war with JetBlue.",1
"JetBlue's latest cash-and-stock bid values Spirit at $3.7 billion, while Frontier's latest cash-and-stock bid, which Spirit recommends its shareholders should back, is worth $2.4 billion.",1
Spirit has delayed its shareholder vote on the deal for a third time to July 15 to negotiate further with both suitors.,1
JetBlue says a tie-up with Spirit will deliver synergies of $600 million to $700 million the first year after integration is complete.,1
"Airline experts said the long-term synergies cited by both JetBlue and Frontier make it worth the price the companies are willing to pay for Spirit, although some analysts cautioned that the bidding war might strain their finances in the near term.",1
"Two months later, JetBlue swooped in with an all-cash, unsolicited bid worth $3.6 billion for Spirit that was higher than the price Frontier had offered.",1
"Since then, both sides have engaged in a game of one-upmanship and made competing offers for Spirit that have included sweeteners such as higher break-up fees and route divestitures, which were aimed at easing regulatory concerns.",1
"Frontier, which has so far been unable to garner enough shareholder support for its proposal, earlier on Monday urged Spirit to extend the shareholder voting deadline to July 27, saying its last proposal was its ""best and final offer"" and that it was waiving its right to match JetBlue's most recent offer.",1
"The airline industry is grappling with high fuel prices, pilot shortages and flight cancellations as it tackles a rebound in travel demand more than two years after the onset of the COVID-19 pandemic.",0
A tie-up with Spirit would give the winning suitor more scale and resources to deal with these challenges.,1
Raymond James & Associates airlines analyst Savanthi Syth said the deal made sense long-term even though it was expensive.,1
"""This is a more expensive deal, at 17 times price-to-earnings, than the deal for Virgin America at 15.5 times,"" Syth said, referring to the bidding war in 2016 between Alaska Air Group Inc (ALK.N) and JetBlue that ended with Alaska buying Virgin America in a $2.6 billion deal.",1
Alaska made its deal work.,1
"Since taking over Virgin America, it has won market share against low-cost competitors and paid down debt it raised to finance the acquisition, analysts said.",1
It will be assuming $3.5 billion of new debt to finance its bid for Spirit.,1
"""Recessions are always very tricky environments for airlines,"" said Florian Ederer, associate professor of economics at the Yale School of Management.",0
Frontier will not be stretching itself as much.,0
Frontier has an advantage in that its bid is seen by Spirit as more likely to be cleared by antitrust regulators than a tie-up with JetBlue.,1
"JetBlue's current Northeast Alliance with American Airlines is already in the crosshairs of the regulators - in June, a U.S. judge said the Justice Department's antitrust lawsuit against American Airlines Group Inc (AAL.O) and JetBlue would move forward.",1
"Spirit has, so far, said that a deal is not possible unless JetBlue drops that partnership.",1
"William Ackman, founder and CEO of hedge fund Pershing Square Capital Management, speaks during the Sohn Investment Conference in New York, May 4, 2015.",0
"In a letter sent to shareholders on Monday, Ackman highlighted numerous factors, including adverse market conditions and strong competition from traditional initial public offerings (IPOs), that thwarted his efforts to find a suitable company to merge his SPAC with.",1
"SPACs, also known as blank-check companies, are publicly-listed shells of cash that are created by large investors - known as sponsors - for the sole purpose of merging with a private company.",1
"The process, which is similar to a reverse merger, takes the target company public.",1
"SPACs peaked during 2020 and the early part of 2021, helping rake in paper gains worth hundreds of millions of dollars for a number of prominent SPAC creators like Michael Klein and Chamath Palihapitiya.",0
"However, over the past year, companies that merged with SPACs have performed poorly, forcing investors to shun blank-check deals.",1
"Moreover, the record-breaking performance of regular IPOs in the United States in 2021 posed competitive challenges for SPAC sponsors like Ackman, as several richly valued startups chose to list their shares on exchanges through traditional routes instead.",0
"In July last year, Ackman's efforts to take a 10% stake in Universal Music, which was being spun off by French media conglomerate Vivendi, through his SPAC were derailed due to regulatory hurdles.",1
"The logo and trading symbol for Twitter is displayed on a screen on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., July 11, 2022.",0
"After the deal closes, Potash shareholders will own 52 percent of the new company, while Agrium’s investors will own 48 percent.",1
"The combination would help Potash, which produces half the potash in North America, reduce its exposure to volatile prices for the potassium product.",1
"Agrium has a big presence among farm-retail chains, enabling it to produce more stable earnings than wholesale fertilizer, according to a Sept. 1 report by Fitch Ratings after word of preliminary talks between the two companies came out.",1
"A combination “will improve market reach and allow the company to optimize its product margins,” Monica Bonar, a senior director at Fitch, said in the report.",1
"The deal follows others that involve the farming industry, including the pending merger between Dow Chemical and DuPont to create a company that would eventually break into three parts, one of which would focus on agricultural chemicals.",1
"In addition, China National Chemical Corporation, or ChemChina, has agreed to acquire seed and farm chemicals producer Syngenta.",1
"And the German industrial giant Bayer has been in back-and-forth negotiations with Monsanto, the American company known for its genetically modified crop seeds.",1
Some farm groups have raised concerns about the effect of a merger of Agrium and Potash on fertilizer prices.,1
Yet there has been little public outcry since the two companies said on Aug. 30 that they were in talks.,1
"The timing of the move underscores the sudden cooling in investor sentiment towards speculative technology firms as the Ukraine war and supply chain problems push up inflation and interest rates, eroding consumer purchasing power.",0
"In a June 22 trading update about a sell-off in tech stocks, Zip had said it was putting up fees and reviewing global operations outside the U.S., but that ""the acquisition of Sezzle remains on track"".",1
"On Tuesday, however, the deal was off, with immediate effect, the companies said.",1
"""What changed since ZIP's announcement ... where the company stated that the transaction remained on track?""",1
"Zip had issued new shares to raise capital when it announced the Sezzle buyout, Chen said, adding, ""This could cause some discontent amongst investors who participated.""",1
"Sezzle's biggest shareholder is Youakim, with a stake of 44%, Refinitiv data shows.",0
"When the Sydney-listed firms unveiled the all-stock deal in February, they said it valued Sezzle at about A$491 million ($330 million), based on Zip's share price.",1
"Zip shares bounced as much as 13% by mid-session, ahead of a broader market (.AXJO) advance of 0.3%, but are still down about 90% since the start of the year.",0
"But it also slowed the scaling of Zip's U.S. business, in which transaction frequency concerns persist, he added.",0
"Australia's first online-only bank, which had targeted a similar market, shut down on June 29 because of difficulties raising funds.",0
"To ensure this doesn’t happen in the future, please enable Javascript and cookies in your browser.",0
"The company has had two major mergers with European automakers in a little more than a decade — first, a failed 1998 marriage with German automaker Daimler, and then a somewhat more harmonious 2009 union with Italy’s Fiat, turning it into Fiat Chrysler Automobiles, or FCA.",1
"Now, the company is planning to go to the altar for a third time, with French manufacturer Groupe PSA, best known for its Peugeot brand.",1
Industry experts warn that mergers are always a challenge.,1
"As in the case of Daimler, a cultural mismatch between two companies can cause friction, and worse.",0
"However, experts say that a super-sized FCA-PSA that pools the resources and strengths of the two automakers may be better able to invest in new technologies and compete globally.",1
Here’s why experts say a merger may be just what Fiat Chrysler and PSA both need.,1
"Coming together could make the automakers innovate more efficiently, he says, as they can pool development resources and share designs.",1
Gordon admits that there’s an open debate as to whether mergers actually lead to innovation.,1
"In part, that’s because companies tend to spend money elsewhere after a tie-up.",1
"However, he argues that mergers also offer companies cover to nix ideas that aren’t working out.",1
"“When you do a merger, everything is looked at,” says Gordon.",1
"In 2017, it purchased two struggling car brands — Opel and Vauxhall — from General Motors.",1
"Michelle Krebs, an executive analyst for Autotrader, says that such massive size could be a big advantage as it plans for the future.",0
The merger may also help them to move into another market where neither company has much of a presence: China.,1
"“As a global automaker, you can’t ignore China.",0
“It’s also the largest market for electric vehicles.,0
Dow Chemical and DuPont announced a merger that would fuse two stalwarts of American industry into a giant worth more than $120 billion and would reshape the chemical and agricultural industries.,1
"The combined company would have about $90 billion in total revenue, based on 2014 numbers, and products ranging from corn seeds to Kevlar fiber to foam chemicals used in sneaker soles.",1
That behemoth would serve as a vehicle for cutting some $3 billion in costs before splitting into three separate businesses 18 to 24 months after the merger closes.,1
"The Justice Department on Friday approved the merger of T-Mobile and Sprint, the third- and fourth-largest wireless companies in the United States, saying its antitrust concerns had been addressed and giving its blessing to a deal that would reshape the nation’s wireless industry.",1
"Critics of the merger have said it would reduce competition by lowering the number of wireless carriers from four to three, resulting in higher cellphone bills.",1
"On Friday, those critics, a group that includes attorneys general from several states and Democratic presidential candidates, continued to voice their objections to the deal, saying the combination would harm consumers.",1
"In a news briefing on Friday, Makan Delrahim, the Trump administration’s top antitrust regulator, said the agency had only decided to approve the deal after T-Mobile and Sprint agreed last week to sell off significant portions of their businesses to the pay-television operator Dish Network as part of a plan to create a potential new major wireless company.",1
"Under the agreement’s terms, Mr. Delrahim said, “Dish is in a unique position to succeed.”",0
"United Airlines and Continental Airlines agreed Sunday to a $3 billion merger that would create the world’s biggest airline, according to people briefed on the negotiations.",1
"The deal, to be announced officially on Monday, would form a coast-to-coast behemoth with a leading presence in the top domestic markets, including New York, Chicago and Los Angeles, along with an extended network to Asia, Latin America and Europe.",1
"The deal was completed in a remarkably swift three weeks, and would give the airlines the muscle to fend off low-cost rivals at home and to take on foreign carriers abroad.",1
"United is buying Continental, and the combined company will keep the United name and be based in Chicago.",1
"If the deal wins antitrust approval, the merged airline would replace Delta Air Lines as the top carrier.",1
The merger gives Denver-based Frontier Airlines a 51.5% controlling stake in the combined airline.,1
"Spirit investors will receive 1.9126 shares of Frontier plus $2.13 in cash for each share they own, giving Spirit shareholders an implied value of $25.83 per share, which is a 19% premium over the value of Spirit shares at the end of last week, the companies said.",1
"""The transaction is centered around creating an aggressive low-fare competitor that will better serve guests, expand career opportunities for our team members and create value for our shareholders,"" Ted Christie, CEO of Miramar, Fla.-based Spirit, told analysts on a call discussing the deal on Monday.",1
"""We believe we are a perfect fit with Frontier.",1
The boards of both companies approved the deal over the weekend.,1
"It would be the first merger of large U.S. airlines since Alaska Airlines' combination with Virgin America in 2016 and a test of the Biden administration's tolerance for consolidation, particularly among airlines, one of the most scrutinized industries by antitrust regulators.",1
"Spirit's shares soared more than 17% after the deal was announced, closing at $25.46, while Frontier's ended the day $12.82 up 3.5%.",1
"Frontier Chairman Bill Franke, a longtime discount airline investor and executive, will chair the combined company, which he said ""will create America's most competitive ultra-low fare airline for the benefit of consumers.""",1
"The companies didn't announce the new name of the combined carrier, the CEO or location of the airline's headquarters.",1
"Those questions will be answered by a committee led by Franke after the transaction closes, which is expected in the second half of the year, pending regulatory and shareholder approval.",1
"Pilots at Frontier and Spirit are represented by the same union, as are the two airlines' flight attendants.",0
"That has meant U.S. airlines large and small have been going after domestic leisure travelers, redrawing their networks in the process, to help dig themselves out of pandemic losses.",0
"Shortly after that move, Indigo bought Frontier Airlines from Republic Airways for $145 million.",1
Spirit Airlines aircraft are seen parked at the end of a runway at Orlando International Airport on the sixth day the airline has cancelled hundreds of flights.,0
"Known for its bright yellow planes, Spirit has also been aggressively expanding in the last decade, including in much larger rivals' hubs, and plans to continue that strategy once it combines with Frontier.",1
