Topic,Link,Title,Article
merger,https://www.reuters.com/markets/deals/entertainment-firm-falcons-beyond-go-public-via-1-bln-spac-deal-2022-07-12/,Entertainment firm Falcon's Beyond to go public via $1 billion SPAC deal,"July 12 (Reuters) - Entertainment firm Falcons Beyond has agreed to go public through a merger with blank-check vehicle in a deal valuing the combined entity at about $1 billion, including debt, the companies said on Tuesday.The deal with Fast Acquisition Corp. II (FZT.N) is expected to fetch up to $282 million in gross proceeds, assuming no redemptions, including a private placement of $60 million from Falcons existing investor Katmandu Collections LLLP.Special purpose acquisition companies (SPACs), once Wall Streets hottest trend when they peaked during 2020 and early 2021, currently find themselves facing regulatory hurdles and investor distrust amid volatile capital markets and poor share performance of popular firms.Register now for FREE unlimited access to Reuters.com RegisterOn Monday, billionaire investor William Ackman, who had raised $4 billion in the biggest-ever SPAC, told investors he would be returning the sum after failing to find a suitable target company to take public through a merger. read moreAfter the deal closes, Falcons Beyond, which boasts of Walt Disney World (DIS.N), Universal Studios and Marvel among its list of clients and IP collaborators, is expected to trade on the Nasdaq under the ticker symbol FBYD.SPACs are publicly listed companies raised with the intention of merging with a private company, which goes public through the merger and is seen as an alternative to an IPO.Register now for FREE unlimited access to Reuters.com RegisterReporting by Manya Saini in Bengaluru; Editing by Krishna Chandra EluriOur Standards: The Thomson Reuters Trust Principles."
merger,https://www.reuters.com/article/spirit-airlines-ma-jetblue-airways/spirit-shareholder-discovery-capital-urges-board-to-abandon-frontier-deal-idUSL4N2YT30K,Spirit shareholder Discovery Capital urges board to abandon Frontier deal,"A Spirit Airlines Airbuys A320-200 airplane sits at a gate at the OHare Airport in Chicago, Illinois, U.S. October 2, 2014.REUTERS/Jim YoungJuly 12 (Reuters) - Spirit Airlines Inc (SAVE.N) shareholder Discovery Capital Management LLC on Tuesday urged the low-cost carrier to abandon its merger with Frontier Group Holdings Inc (ULCC.O) in favor of a bid from JetBlue Airways Corp (JBLU.O).Discovery became the second major Spirit shareholder to publicly back a merger with JetBlue, which is vying with Frontier to expand in the United States and create the countrys fifth-largest airline. Discovery owns 1.4% of Spirit.Last month, Spirit shareholder TIG Advisors LLC also informed the carriers board of directors that it intends to vote against Frontiers bid with the low-cost carrier.Register now for FREE unlimited access to Reuters.com RegisterThe Spirit shareholder vote, which has been delayed twice before, was pushed back for a third time to enable the airline to have more conversations with JetBlue and Frontier to finalize a deal.However, Frontier on Monday declined to further raise its bid for Spirit, potentially drawing the curtains on its months-long bidding war with JetBlue. read moreInstitutional Shareholder Services (ISS) last month said JetBlues latest offer to buy Spirit was ""more favorable"" for the ultra-low-cost airlines shareholders, but maintained its support for the Frontier deal. read more""We echo the opinion of ISS that the JetBlue proposal is more favorable, and we implore SAVE management to abandon the Frontier Merger without delay,"" Discovery said in a statement.Register now for FREE unlimited access to Reuters.com RegisterReporting by Nathan Gomes in Bengaluru; Editing by Devika SyamnathOur Standards: The Thomson Reuters Trust Principles."
merger,https://www.reuters.com/article/spirit-airlines-ma-bidding/analysis-spirit-airlines-winning-bidder-may-need-years-to-recoup-price-tag-idUSL4N2YH3YJ,Analysis: Spirit Airlines winning bidder may need years to recoup price tag,"JetBlue, Spirit and Frontier Airlines logos are seen in this illustration taken June 27, 2022. REUTERS/Dado RuvicJuly 12 (Reuters) - The bidding war for Spirit Airlines Inc (SAVE.N) between Frontier Group Holdings Inc (ULCC.O) and JetBlue Airways Corp (JBLU.O) may leave the acquirer taking years to earn back their investment.JetBlues latest cash-and-stock bid values Spirit at $3.7 billion, while Frontiers latest cash-and-stock bid, which Spirit recommends its shareholders should back, is worth $2.4 billion. Spirit has delayed its shareholder vote on the deal for a third time to July 15 to negotiate further with both suitors.JetBlue and Frontier may have to wait anywhere from three to five years or even longer to recoup their investment if they are successful, according to a dozen investment bankers and analysts interviewed by Reuters.Register now for FREE unlimited access to Reuters.com RegisterFrontier expects the combined company to deliver annual synergies of roughly $500 million, most of which will start kicking in roughly three or four years after the deal is completed. JetBlue says a tie-up with Spirit will deliver synergies of $600 million to $700 million the first year after integration is complete.Airline experts said the long-term synergies cited by both JetBlue and Frontier make it worth the price the companies are willing to pay for Spirit, although some analysts cautioned that the bidding war might strain their finances in the near term.""We are probably heading into a recession. This is not the right time to borrow a lot of money to buy a competitor,"" said Israel Shaked, professor emeritus of finance at Boston University.Spirit, JetBlue and Frontier declined to comment.For an interactive graphic, click on this link: https://tmsnrt.rs/3AwXtq0EXPENSIVE BETThe bidding war began in February this year, when Frontier offered to buy Spirit. Two months later, JetBlue swooped in with an all-cash, unsolicited bid worth $3.6 billion for Spirit that was higher than the price Frontier had offered.Since then, both sides have engaged in a game of one-upmanship and made competing offers for Spirit that have included sweeteners such as higher break-up fees and route divestitures, which were aimed at easing regulatory concerns.Frontier, which has so far been unable to garner enough shareholder support for its proposal, earlier on Monday urged Spirit to extend the shareholder voting deadline to July 27, saying its last proposal was its ""best and final offer"" and that it was waiving its right to match JetBlues most recent offer.The airline industry is grappling with high fuel prices, pilot shortages and flight cancellations as it tackles a rebound in travel demand more than two years after the onset of the COVID-19 pandemic. A tie-up with Spirit would give the winning suitor more scale and resources to deal with these challenges.Raymond James & Associates airlines analyst Savanthi Syth said the deal made sense long-term even though it was expensive.""This is a more expensive deal, at 17 times price-to-earnings, than the deal for Virgin America at 15.5 times,"" Syth said, referring to the bidding war in 2016 between Alaska Air Group Inc (ALK.N) and JetBlue that ended with Alaska buying Virgin America in a $2.6 billion deal.Alaska made its deal work. Since taking over Virgin America, it has won market share against low-cost competitors and paid down debt it raised to finance the acquisition, analysts said.JetBlue is making the same gamble. It will be assuming $3.5 billion of new debt to finance its bid for Spirit. Analysts and management experts pointed out that in the event of a global recession, a highly levered balance sheet could weigh heavily on JetBlues financial performance, diminishing its earnings power.""Recessions are always very tricky environments for airlines,"" said Florian Ederer, associate professor of economics at the Yale School of Management. ""We went through a whole range of bankruptcies in previous recessions for airlines.""Frontier will not be stretching itself as much. It had $727 million in cash and long-term debt of roughly $207 million as of March 31.It is possible the bidding war reaches price levels that would cause one suitor to bow out, said Helane Becker, managing director and senior research analyst at Cowen.""At some point, one or the other (Frontier or JetBlue) will drop out because Spirit might become overvalued. We don’t believe it is there yet, but we’ll have to see what happens,"" Becker said.Frontier has an advantage in that its bid is seen by Spirit as more likely to be cleared by antitrust regulators than a tie-up with JetBlue. JetBlues current Northeast Alliance with American Airlines is already in the crosshairs of the regulators - in June, a U.S. judge said the Justice Departments antitrust lawsuit against American Airlines Group Inc (AAL.O) and JetBlue would move forward.Spirit has, so far, said that a deal is not possible unless JetBlue drops that partnership.Register now for FREE unlimited access to Reuters.com RegisterReporting by Anirban Sen, Angelique Chen and David Carnevali in New York Additional reporting by David Shepardson in Washington Editing by Greg Roumeliotis and Matthew LewisOur Standards: The Thomson Reuters Trust Principles."
merger,https://www.reuters.com/markets/us/bill-ackmans-pershing-square-return-4-bln-investors-2022-07-11/,"Bill Ackman to wind up SPAC, return $4 bln to investors","William Ackman, founder and CEO of hedge fund Pershing Square Capital Management, speaks during the Sohn Investment Conference in New York, May 4, 2015. REUTERS/Brendan McDermidNEW YORK, July 11 (Reuters) - Billionaire investor William Ackman, who had raised $4 billion in the biggest-ever special purpose acquisition company (SPAC), told investors he would be returning the sum after failing to find a suitable target company to take public through a merger.The development is a major setback for the prominent hedge fund manager who had initially planned for the SPAC to take a stake in Universal Music Group last year when these investment vehicles were all the rage on Wall Street.In a letter sent to shareholders on Monday, Ackman highlighted numerous factors, including adverse market conditions and strong competition from traditional initial public offerings (IPOs), that thwarted his efforts to find a suitable company to merge his SPAC with.Register now for FREE unlimited access to Reuters.com Register""High quality and profitable durable growth companies can generally postpone their timing to go public until market conditions are more favorable, which limited the universe of high-quality possible deals for PSTH, particularly during the last 12 months,"" said Ackman, referring to the ticker symbol for his SPAC.In July 2020, Pershing Square Tontine raised $4 billion in its initial public offering and wooed prominent investors ranging from hedge fund Baupost Group, Canadian pension fund Ontario Teachers and mutual fund company T. Rowe Price Group.SPACs, also known as blank-check companies, are publicly-listed shells of cash that are created by large investors - known as sponsors - for the sole purpose of merging with a private company. The process, which is similar to a reverse merger, takes the target company public.SPACs peaked during 2020 and the early part of 2021, helping rake in paper gains worth hundreds of millions of dollars for a number of prominent SPAC creators like Michael Klein and Chamath Palihapitiya.However, over the past year, companies that merged with SPACs have performed poorly, forcing investors to shun blank-check deals. That coupled with tighter regulatory scrutiny and a downturn in equity markets have practically shut down the SPAC economy, with several billions of dollars at stake.Moreover, the record-breaking performance of regular IPOs in the United States in 2021 posed competitive challenges for SPAC sponsors like Ackman, as several richly valued startups chose to list their shares on exchanges through traditional routes instead.""The rapid recovery of the capital markets and our economy were good for America but unfortunate for PSTH, as it made the conventional IPO market a strong competitor and a preferred alternative for high-quality businesses seeking to go public,"" Ackman said.In July last year, Ackmans efforts to take a 10% stake in Universal Music, which was being spun off by French media conglomerate Vivendi, through his SPAC were derailed due to regulatory hurdles. The U.S. Securities and Exchange Commission objected to the deal and Ackman put the investment into his hedge fund instead.""While there were transactions that were potentially actionable for PSTH during the past year, none of them met our investment criteria,"" Ackman said.Register now for FREE unlimited access to Reuters.com RegisterReporting by Svea Herbst-Bayliss; Editing by Sriraj Kalluvila and Muralikumar AnantharamanOur Standards: The Thomson Reuters Trust Principles."
merger,https://www.reuters.com/article/twitter-ma-musk/twitter-says-not-breached-merger-agreement-with-elon-musk-idUSL4N2YS33Z,Twitter says it has not breached merger agreement with Elon Musk,"The logo and trading symbol for Twitter is displayed on a screen on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., July 11, 2022. REUTERS/Brendan McDermidJuly 11 (Reuters) - Twitter Inc (TWTR.N) said on Monday it has breached none of the obligations under a merger agreement with Tesla Inc Chief Executive Officer Elon Musk.Musk said on Friday he would seek to end his $44 billion deal because the social media company had breached multiple provisions of the agreement.Register now for FREE unlimited access to Reuters.com RegisterReporting by Chavi Mehta in BengaluruOur Standards: The Thomson Reuters Trust Principles."
merger,https://www.nytimes.com/2016/09/13/business/dealbook/agrium-and-potash-corp-to-merge-creating-fertilizer-giant.html,"Agrium and Potash Corp. to Merge, Creating Fertilizer Giant","Shareholders seemed a bit more skeptical. After the deal closes, Potash shareholders will own 52 percent of the new company, while Agrium’s investors will own 48 percent. The stocks of both companies declined on Monday, with Agrium about 3 percent lower, and Potash slipping more than 1.5 percent. One possibility for the declines: The deal does not have a premium.The combination would help Potash, which produces half the potash in North America, reduce its exposure to volatile prices for the potassium product. Agrium has a big presence among farm-retail chains, enabling it to produce more stable earnings than wholesale fertilizer, according to a Sept. 1 report by Fitch Ratings after word of preliminary talks between the two companies came out. A combination “will improve market reach and allow the company to optimize its product margins,” Monica Bonar, a senior director at Fitch, said in the report.The deal follows others that involve the farming industry, including the pending merger between Dow Chemical and DuPont to create a company that would eventually break into three parts, one of which would focus on agricultural chemicals. In addition, China National Chemical Corporation, or ChemChina, has agreed to acquire seed and farm chemicals producer Syngenta. And the German industrial giant Bayer has been in back-and-forth negotiations with Monsanto, the American company known for its genetically modified crop seeds.Some farm groups have raised concerns about the effect of a merger of Agrium and Potash on fertilizer prices. Yet there has been little public outcry since the two companies said on Aug. 30 that they were in talks."
merger,https://www.reuters.com/article/sezzle-ma-zip-co/zip-sezzle-bnpl-deal-falls-through-idUSL4N2YS3GQ,Australian BNPL star Zip pulls buyout of rival amid tech rout,"Zip logo is seen on a smartphone in front of displayed same logo in this illustration taken January 25, 2022. REUTERS/Dado Ruvic/Illustration/File PhotoJuly 12 (Reuters) - Australian buy-now-pay-later (BNPL) firm Zip Co Ltd dumped a buyout of U.S. rival Sezzle Inc three weeks after declaring the deal on track, a sign of the abrupt pressure on unprofitable fintech firms brought by soaring inflation.The timing of the move underscores the sudden cooling in investor sentiment towards speculative technology firms as the Ukraine war and supply chain problems push up inflation and interest rates, eroding consumer purchasing power. read moreZip, which owns the Quadpay brand in the U.S., said the two firms agreed to pull the deal because of ""current macroeconomic and market conditions"", without elaborating.Register now for FREE unlimited access to Reuters.com RegisterThe decision was ""in the best interests of Zip and its shareholders, and will allow Zip to focus on its strategy and core business,"" it added.In a June 22 trading update about a sell-off in tech stocks, Zip had said it was putting up fees and reviewing global operations outside the U.S., but that ""the acquisition of Sezzle remains on track"".On Tuesday, however, the deal was off, with immediate effect, the companies said.""What changed since ZIPs announcement ... where the company stated that the transaction remained on track?"" RBC Capital Markets analyst Wei-Weng Chen wrote in a client note.Zip had issued new shares to raise capital when it announced the Sezzle buyout, Chen said, adding, ""This could cause some discontent amongst investors who participated.""Sezzle remains ""dedicated to driving toward profitability and free cashflow,"" Executive Chairman Charlie Youakim said, adding, ""(We) believe this is the best outcome for our shareholders.""Sezzles biggest shareholder is Youakim, with a stake of 44%, Refinitiv data shows.When the Sydney-listed firms unveiled the all-stock deal in February, they said it valued Sezzle at about A$491 million ($330 million), based on Zips share price.On Tuesday, news of the cancellation sent Sezzle shares down 34%, valuing the company at just A$55 million.Zip shares bounced as much as 13% by mid-session, ahead of a broader market (.AXJO) advance of 0.3%, but are still down about 90% since the start of the year.""The termination ... has the potential to slow Zips near-term cash burn,"" UBS analyst Tom Beadle said in a client note, adding that Sezzle was loss-making.But it also slowed the scaling of Zips U.S. business, in which transaction frequency concerns persist, he added.A popular sector with Australian stock investors during COVID-19 due to exposure to the shift to living and working online, BNPL and other fintech firms have in recent months faced imploding takeovers, layoffs, and even collapse. read moreAnother fintech firm, Latitude Group Holdings Ltd (LFS.AX), cited market conditions when it cancelled last month a buyout of Humm Group Ltds BNPL operations.Australias first online-only bank, which had targeted a similar market, shut down on June 29 because of difficulties raising funds. read more($1=1.4868 Australian dollars)Register now for FREE unlimited access to Reuters.com RegisterReporting by Byron Kaye in Sydney and Indranil Sarkar in Bengaluru; Editing by Rashmi Aich and Clarence FernandezOur Standards: The Thomson Reuters Trust Principles."
merger,https://seekingalpha.com/news/3856161-mubadala-investment-in-talks-to-acquire-fortress-investment-from-softbank?source=content_type%3Areact%7Cfirst_level_url%3Amarket-news%7Csection_asset%3Amain%7Csection%3Am-a,Mubadala Investment in talks to acquire Fortress Investment from SoftBank (OTCMKTS:SFTBY),"To ensure this doesn’t happen in the future, please enable Javascript and cookies in your browser.If you have an ad-blocker enabled you may be blocked from proceeding. Please disable your ad-blocker and refresh."
merger,https://seekingalpha.com/news/3856150-kaleyra-stock-jumps-on-tcr-acquisitions-offer-to-acquire-campaign-registry-for-1946m?source=content_type%3Areact%7Cfirst_level_url%3Amarket-news%7Csection_asset%3Amain%7Csection%3Am-a,Kaleyra stock jumps on TCR Acquisition's offer to acquire Campaign Registry for $19.46M,"To ensure this doesn’t happen in the future, please enable Javascript and cookies in your browser.If you have an ad-blocker enabled you may be blocked from proceeding. Please disable your ad-blocker and refresh."
merger,https://time.com/5715804/fiat-chrysler-psa-peugeot/,3 Reasons a Fiat Chrysler-Peugeot Merger Makes Sense,"Chrysler is considered one of the United States’ “Big Three” automakers, but it has cast its gaze overseas to build its future. The company has had two major mergers with European automakers in a little more than a decade — first, a failed 1998 marriage with German automaker Daimler, and then a somewhat more harmonious 2009 union with Italy’s Fiat, turning it into Fiat Chrysler Automobiles, or FCA. Now, the company is planning to go to the altar for a third time, with French manufacturer Groupe PSA, best known for its Peugeot brand.Industry experts warn that mergers are always a challenge. As in the case of Daimler, a cultural mismatch between two companies can cause friction, and worse. However, experts say that a super-sized FCA-PSA that pools the resources and strengths of the two automakers may be better able to invest in new technologies and compete globally.Here’s why experts say a merger may be just what Fiat Chrysler and PSA both need.Merging can help both companies innovateErik Gordon, of the University of Michigan’s Ross School of Business, says that both Fiat Chrysler and PSA are behind on technologies like electrification and safety features. Coming together could make the automakers innovate more efficiently, he says, as they can pool development resources and share designs. Manufacturing will be more efficient as well, he argues, because each company will be able to share parts and designs with the other.Gordon admits that there’s an open debate as to whether mergers actually lead to innovation. In part, that’s because companies tend to spend money elsewhere after a tie-up. However, he argues that mergers also offer companies cover to nix ideas that aren’t working out. “When you do a merger, everything is looked at,” says Gordon. “So, there’s more freedom to close things without career damage.”Harley Shaiken, a professor with expertise in labor and globalization at the University of California-Berkeley, says that it’s important that post-merger companies focus not just on efficiency, but also on “vision” — creating innovative, well-marketed products that people want to buy.Shaiken says PSA has already shown signs that it’s capable of acquiring and turning around ailing assets. In 2017, it purchased two struggling car brands — Opel and Vauxhall — from General Motors. A year later, both brands were profitable again.It’s a chance to reset their relationship with workersShaiken says that the merger could be an opportunity to hit the reset button on Fiat Chrysler’s battered relationship with United Auto Workers (UAW) and the company’s employees, which has suffered mightily amid a corruption scandal. “It could be very good news for workers, for their communities, and for a more competitive auto firm,” says Shaiken.If the combined company chooses to build its new technologies in the United States, it could bolster their relationship with workers. Of course, the company could decide to shrink U.S. production, but he says that such a move would be “short-sighted.” Maintaining a relationship with workers is essential to keeping them motivated and encouraging innovation, he argues. “It’s something companies take for granted at their own peril,” Shaiken says.However, Gordon says that he doubts that the deal will have much of an impact on the issues that most concern workers. With or without the merger, he believes it’s likely that Fiat Chrysler will need to reduce its domestic workforce because Americans are buying few of Chrysler’s small cars, focusing instead on larger SUVs and trucks like those from the company’s Jeep brand.The merger will help them compete on a global levelIf the two companies merge, the new company would be among the largest automakers in the world. Michelle Krebs, an executive analyst for Autotrader, says that such massive size could be a big advantage as it plans for the future. “The thinking is that you really need to be a big company to compete on a global basis,” Krebs says.Pooling resources will enable the company not only invest in new technology such as autonomous and electric vehicles, but also to take advantage of different markets. Chrysler has a stronger foothold in the United States, where Peugeot has no presence, while Peugeot is in a strong position in Europe.The merger may also help them to move into another market where neither company has much of a presence: China.“As a global automaker, you can’t ignore China. It’s the biggest market in the world, by a very wide margin,” says Krebs. “It’s also the largest market for electric vehicles. So if you’re going to be a true global automaker, you need to have strength in China.”Contact us at letters@time.com."
