Sentence,Label
"With one trading day left in October, the Nasdaq has gained nearly 7% for the month.",0
"The Dow Jones Industrial Average DJIA, +1.37% slumped 215 points, or 0.7%, after rising more than 350 points at its session high.",0
"The S&P 500 fell 1.15% to 3,854.43, while the Nasdaq Composite lost 2.26% to 11,372.60.",1
"In fact, legendary investor Warren Buffett has said that investing in low-cost S&P 500 index funds is a bet on the future of U.S. economic growth and the best way for most people to build wealth.",1
"Had it not been for Tesla's inclusion, Etsy (ETSY, +301.6% in 2020) would've been the S&P 500's top stock.",1
"The S&P 500 fell 3.88% to 3,749.63, marking its lowest level since March 2021 and bringing its losses from its January record to more than 21%.",1
Only five stocks in the benchmark closed the day in the green.,1
Buffett's case for low-cost S&P 500 index funds centers on their low fees.,1
"The S&P 500 on Monday extended a streak that should make investors look before they leap after any stock-market bounces, a top Wall Street technical analyst warned.",1
"The decision takes effect starting Tuesday, according to a statement by the manager of the widely used benchmark, S&P Dow Jones Indices.",1
"Since Monday, the Dow rose 1.6%, and the S&P 500 popped about 2.3%.",1
"In some weird parallel universe, Tesla was kicked out of the S&P 500 Environmental, Social, and Governance (ESG) Index while oil companies were added to it.",1
Data and tables courtesy of S&P Global Market Intelligence.,1
"Historically, the S&P 500's annual returns have been in the 9% to 10% range.",1
"It included an interview with Margaret Dorn, S&P Dow Jones Indices’ head of ESG indices for North America.",1
The corporations represented in the S&P 500 are subject to stringent listing criteria.,1
"If you want your portfolio's value to grow with the U.S. economy and don't want to choose individual stocks, an S&P 500 index fund could be a smart choice.",1
"The S & P 500 hustles above 3,900. Credit spreads rush tighter.",1
"If you want to invest in the quality large-cap companies in the S&P 500 while spreading out your risk a bit more, you could opt for the Invesco S&P 500 Equal Weight ETF (NYSEMKT:RSP).",1
"As the market drifted lower during the week, the higher strike prices' gravity helped lift the index higher throughout Thursday and Friday.",1
"At one point during the trading day, every single stock in the S&P 500 was lower.",1
Micron Technology Inc. MU is another name on the list with a low P/E.,0
FedEx Corp (FDX.N) dropped 3.6% after the U.S. delivery firm missed 2022 earnings forecast due to hiring difficulties.,0
Open interest levels for the S&P 500 will be nearly cut in half with the removal of the July 15 trade date.,1
S&P 500 funds are by far the most popular type of index fund.,1
"is a home builder, a group that has been hit hard this year as rising interest rates have led to a growing number of building contract cancellations and price cuts.",0
You can check out the list below for a full ranking of the S&P 500's stocks based on their total return (price plus dividends).,1
