Sentence,Label
Key Takeaways A company's market capitalization is the product of its share price and the number of outstanding shares.,1
A company's stock price simply represents the current price at which a buyer and seller are willing to trade its stock.,1
"""Holding a poll on Twitter about whether he should sell 10% of his stake in Tesla might seem crazy, but one could say it is normal behavior for him.""",1
"Between 2019 and 2020, Didi's revenue shrunk almost 10% as the Covid pandemic struck China hard last year.",0
"Adjusted earnings per share were $1.36, beating Wall Street's expectations of $1.27 per share.",1
"""We determined that further scaling up Zillow Offers is too risky, too volatile to our earnings and operations, too low of a return on equity opportunity and too narrow in its ability to serve our customers,"" Barton said.",0
Next: The Isle Of Bigsnax Review - A Side Dish Of Vegetables,0
They dropped another 6.8% on Wednesday.,1
"A September 2019 National Foundation for American Policy analysis concluded, “By our calculation, from 2017 through the end of 2018, the Trump tariffs cost the average U.S. household $374.",0
"Issuing new stock generally dilutes the value of a share, and is typically done when a company thinks its shares are overpriced.",1
"Shares of some large builders, like industry leader D.H. Horton, have fallen by nearly 40% this year.",1
"It's the fifth Dow decline of more than 800 points this year, which all occurred as the stock sell-off intensified within the last one month.",1
"But if the SEC took action, Musk would have a ""good argument"" if his tweet protected shareholders by cushioning a decline in the stock price.",1
Attention from the popular investor typically benefits growth stocks.,1
Facebook and Instagram owner Meta Platforms (FB) fell nearly 10% while Pinterest (PINS) tumbled more than 20%.,1
"Since its stock started climbing at the end of January, the company has issued more than 100 million shares, unlike fellow internet darling GameStop, which has largely held off on selling new stock.",1
Here’s a look at Deere as it reports its first-quarter 2022 earnings to give you the information you need to know before investing in the company.,1
"Subsequent underbuilding caused supply to plummet over the next several years, resulting in a deficit of 3 million homes by 2020.",0
"By at least one measure, it could be a sell.",1
The stock dropped $21.63 to close at $65.57.,1
"Futter also notes that while GameStop has talked about turning its stores into cultural destinations, those plans will obviously be on hold during the coronavirus pandemic.",0
"The company's stock began trading at $16.65 per share, up about 19% from the company's offering price of $14 per share, bringing its market cap to nearly $80 billion.",1
The company's operating expenses are increasing faster than its sales.,0
"But when the dust settles on this whirlwind of stock market drama, it’ll almost certainly have no bearing on GameStop’s actual business.",1
Google parent Alphabet announced a 20-for-1 split in February.,1
"Musk had previously said he would have to exercise a large number of stock options in the next three months, which would create a big tax bill.",1
"Adjusted for the 20-for-1 stock split scheduled for after the close of business on July 15, Monness Crespi Hardt’s price target is $145.",1
"Since home construction peaked in 2005 with more than 2 million housing starts, there has been an average of 500,000 fewer starts per year, resulting in a deficit of about 3 million homes.",0
White maintained his buy rating on Alphabet.,1
The company has seen rapid growth as it benefited from the rise of remote work during the pandemic.,0
"In a tweet to Martin Viecha, Tesla's senior director of investor relations, Koguan said the company should immediately announce it plans to buy back $5 billion of Tesla shares this year and $10 billion next year.",1
The stock soared 6% in extended trading.,1
"As this happened, investors have been slowly writing off the company’s core business, and Yahoo’s corporate assets—stakes in Yahoo Japan and the Chinese e-commerce giant Alibaba that are worth nearly $45 billion—became crucial to the company’s market value.",1
"The Nasdaq Composite slipped 4.73% to 11,418.15, which is the largest fall in the tech-heavy index since May 5.",1
Mullally admits he remains baffled by the interest in a stock that he views as not especially valuable.,1
"Several firms, including JPMorgan, Piper Sandler, UBS and Wedbush lowered their ratings on the stock following the earnings report.",1
But medical device sales were a bright spot.,0
What Is the Most Expensive Stock in the World?,1
"By the close of trading on Friday it had fallen to just over $48, a drop of more than 51 percent in less than a week.",1
New research by economists from the Federal Reserve Bank of New York and Columbia University found U.S. companies lost at least $1.7 trillion in the price of their stocks due to increased U.S. tariffs against imports from China.,1
It has been a volatile four months for GameStop’s (NYSE: GME) stock since the company announced its planned stock split on March 31.,1
"If first impressions count for anything, Spotify’s first day of public trading was mixed.",1
"The company's American counterparts, Uber and Lyft, both closed below the initial trade in their 2019 debuts.",1
Volkswagen stock made the largest gain in a single day in October 2008 after an announcement made by automaker Porsche.,1
"In April, Peloton aggressively fought federal safety regulators over whether to recall its $4,300 Tread+ treadmill.",0
"The company launched a new share class in 1996 (BRK.B), which has a lower price.",1
"At the time of the announcement, GameStop said the move would “provide flexibility for future corporate needs.” The plan secured board approval on July 6 and on Monday, July 18, shareholders will receive three additional shares for each of their class A share, which will be distributed after the close of trading on July 21.",1
"In response, Berkshire introduced cheaper class B shares in 1996, priced at a substantially more affordable $341 as of Thursday afternoon, but has consistently refused to split the company's original class A offering.",1
